"Lineage"	"Ceska republika"	"Hlavni mesto Praha"	"Jihocesky kraj"	"Jihomoravsky kraj"	"Karlovarsky kraj"	"Kraj Vysocina"	"Kralovehradecky kraj"	"Liberecky kraj"	"Moravskoslezsky kraj"	"Olomoucky kraj"	"Pardubicky kraj"	"Plzensky kraj"	"Stredocesky kraj"	"Ustecky kraj"	"Zlinsky kraj"	"_unknown_"
"B.1.1.7"	0.777	0.811	0.694	0.419	0.985	0.857	0.771	0.419	0.747	0.836	0.944	0.682	0.797	0.778	0.25	0.816
"B.1.258"	0.138	0.128	0.231	0.297	0	0.0952	0.143	0.0968	0.173	0.0395	0.0556	0.262	0.174	0.167	0.25	0.129
"B.1.351"	0.0247	0.0117	0	0.0203	0.0049	0	0.00344	0.387	0	0.115	0	0.0103	0.00725	0	0	0.0138
"B.1.221"	0.0192	0.0117	0.0185	0.115	0	0	0.0241	0	0.0267	0	0	0.0308	0	0	0	0.0138
"B.1.160"	0.0111	0.00233	0.037	0.0135	0.0098	0	0.012	0.0323	0.0267	0.00658	0	0	0.00725	0	0.25	0.0161
"B.1.1"	0.00664	0.014	0	0.00676	0	0	0.0103	0.0323	0.0133	0.00329	0	0.00513	0	0	0	0.0023
"B.1.1.153"	0.00406	0	0	0.0541	0	0	0.00344	0.0323	0	0	0	0	0	0	0	0
"B.1.527"	0.00221	0.00233	0	0.0135	0	0	0.00515	0	0	0	0	0	0	0	0	0
"B.1.177.8"	0.00111	0	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0.0023
"B.1.1.277"	0.000738	0	0	0	0	0	0	0	0	0	0	0	0.0145	0	0	0
"Other"	0.0155	0.0186	0.0185	0.0473	0	0.0476	0.0275	0	0.0133	0	0	0.0103	0	0.0556	0.25	0.00691
"Count"	2709	429	108	148	204	21	582	31	75	304	18	195	138	18	4	434
