Lineage	Vsechny tydny	tyden_2022_37	tyden_2022_38	tyden_2022_39	tyden_2022_40	tyden_2022_41	tyden_2022_42	tyden_2022_43	tyden_2022_44	tyden_2022_45	Total
BA.5.2	0.184	0.183	0.192	0.22	0.183	0.18	0.196	0.111	0.111	0.4	634
BA.5.1	0.114	0.15	0.131	0.115	0.0963	0.107	0.0909	0.0556	0.0794	0	393
BF.7	0.107	0.0494	0.0758	0.144	0.0988	0.138	0.158	0.144	0.151	0.2	369
BA.5.2.1	0.094	0.119	0.105	0.0787	0.0938	0.0836	0.0587	0.0889	0.111	0	323
BF.14	0.0692	0.0544	0.0437	0.0674	0.0691	0.0909	0.0792	0.128	0.0952	0.2	238
BF.5	0.0393	0.0544	0.0527	0.0427	0.0346	0.0236	0.0147	0.0278	0.0397	0	135
BE.1.1	0.0375	0.0297	0.0501	0.0427	0.0346	0.0491	0.0176	0.0167	0.0238	0	129
BA.5.2.20	0.0314	0.0297	0.0321	0.027	0.0395	0.0255	0.0381	0.0389	0.0238	0	108
BA.5.1.10	0.0308	0.0346	0.0334	0.0157	0.0321	0.0418	0.0205	0.0444	0.00794	0	106
BA.5	0.0145	0.0115	0.0141	0.00449	0.0222	0.0255	0.0147	0	0.00794	0.2	50
BE.1	0.0137	0.0198	0.0167	0.0202	0.0222	0.00545	0.00293	0	0	0	47
BA.5.1.5	0.0119	0.00659	0.0116	0.0112	0.0296	0.00364	0.0088	0.0167	0.0238	0	41
BA.5.2.6	0.0116	0.00494	0.0103	0.00899	0.0148	0.02	0.0117	0.0111	0.0159	0	40
BA.4.6	0.0113	0.0132	0.0103	0.00674	0.0198	0.00909	0.0147	0.00556	0.00794	0	39
BA.5.2.22	0.0113	0.0148	0.0129	0.00674	0.0148	0.00909	0.0117	0.00556	0.00794	0	39
BA.5.2.26	0.0113	0.0132	0.0154	0.00899	0.00494	0.00909	0.0176	0.00556	0.00794	0	39
BF.7.3	0.0102	0.00494	0.00386	0.0135	0.00988	0.0127	0.0264	0	0.0238	0	35
BA.5.9	0.00989	0.00824	0.00771	0.0157	0.00247	0.00909	0.0117	0.0278	0.00794	0	34
BA.5.1.23	0.00786	0.0115	0.00129	0.00225	0.00741	0.0145	0.0117	0.00556	0.0159	0	27
BA.5.1.3	0.00756	0.0115	0.009	0.00449	0.00988	0.00727	0.00587	0	0	0	26
BA.5.1.30	0.00756	0.00988	0.0167	0.00674	0	0.00545	0	0.00556	0	0	26
BA.5.3.1	0.00756	0.0115	0.0116	0.00449	0.00741	0.00545	0.00293	0.00556	0	0	26
BE.1.1.2	0.00669	0.0115	0.0103	0.00674	0	0.00364	0.00587	0.00556	0	0	23
BA.5.1.26	0.00582	0.00494	0.00771	0.00449	0.00247	0.00727	0.00587	0.00556	0.00794	0	20
BQ.1.1	0.00582	0	0.00129	0.00449	0.00247	0	0.0117	0.0278	0.0556	0	20
BA.5.1.22	0.00553	0.00494	0.00257	0.00225	0.0173	0.00545	0.0088	0	0	0	19
BA.5.2.21	0.00553	0.00988	0.00386	0.00225	0.00741	0	0.00587	0.00556	0.0238	0	19
BA.5.2.3	0.00466	0.00659	0.00771	0.00449	0	0.00545	0.00293	0	0	0	16
BF.28	0.00466	0.00824	0.00514	0.00449	0.00247	0.00727	0	0	0	0	16
BF.7.6	0.00436	0.00494	0.00386	0.00674	0.00494	0.00182	0.00293	0.00556	0.00794	0	15
CG.1	0.00436	0.00329	0.00514	0.00899	0.00494	0.00182	0.00587	0	0	0	15
BA.5.1.2	0.00407	0.00165	0.00386	0.00449	0	0.0127	0	0.00556	0	0	14
BA.5.5	0.00407	0.00329	0.00386	0.00674	0.00494	0.00364	0.00587	0	0	0	14
BF.26	0.00407	0.00165	0.009	0.00449	0	0.00545	0.00293	0	0	0	14
BM.1.1.3	0.00407	0	0	0	0.00247	0.0127	0.0088	0.0167	0	0	14
BF.2	0.00378	0.00988	0.00257	0.00225	0	0.00182	0.0088	0	0	0	13
BQ.1.5	0.00349	0	0	0	0.00247	0.00182	0.0117	0.0278	0.00794	0	12
BA.5.2.35	0.0032	0.00329	0.00129	0	0.00741	0	0.00587	0.0167	0	0	11
