Lineage	_unknown_	Ceska republika	Jihocesky	Jihomoravsky	Karlovarsky	Kralovehradecky	Liberecky	Moravskoslezsky	Olomoucky	Pardubicky	Plzensky	Praha	Stredocesky	Ustecky	Vysocina	Zlinsky	Total
BA.2.9	0.297	0.468	0.672	0.572	0.383	0.468	0.421	0.541	0.473	0.498	0.388	0.437	0.439	0.433	0.525	0.498	3564
BA.2	0.261	0.301	0.224	0.251	0.334	0.327	0.474	0.224	0.248	0.25	0.297	0.375	0.323	0.5	0.307	0.251	2297
BA.1.1	0.224	0.0851	0.0345	0.063	0.0617	0.112	0	0.13	0.0664	0.148	0.0254	0.0868	0.106	0.0167	0.0693	0.0996	649
Unassigned	0.0909	0.0425	0.0172	0.00606	0.159	0.00381	0	0.0119	0.0122	0	0.229	0.0092	0.00462	0	0.00267	0	324
BA.2.3	0.0242	0.0223	0	0.017	0.00649	0.00761	0	0.0237	0.0515	0.005	0.0106	0.0197	0.0462	0.0333	0.0267	0.0558	170
BA.1.1.1	0.0182	0.0139	0	0.0182	0.00649	0.0152	0.0526	0.00444	0.00949	0.0275	0.0137	0.0145	0.0162	0	0.024	0.00398	106
BA.1	0.0364	0.0133	0	0.0097	0.00974	0.00888	0	0.0104	0.0528	0.0125	0.00634	0.00329	0.0115	0	0.0133	0.0199	101
BA.2.12	0	0.0104	0	0.00485	0.013	0.0355	0	0	0.0136	0.03	0.00211	0.00789	0.0115	0	0.00267	0.00398	79
BA.1.17.2	0.00606	0.00997	0	0.0133	0	0.00127	0	0.0267	0.0298	0.01	0.00211	0.00263	0.00462	0.00833	0.008	0.0279	76
BA.1.18	0.00606	0.00617	0	0.017	0.00649	0	0	0.0104	0.00813	0.0025	0.00211	0.00526	0.00924	0	0.00267	0.00398	47
BA.2.25.1	0	0.00341	0.0172	0.00242	0	0	0	0.00148	0.00136	0.0025	0.0106	0.00394	0.00231	0	0.00533	0.00398	26
BA.2.10	0.0121	0.00315	0	0.00121	0	0.00381	0	0	0.00136	0	0.00106	0.00723	0.00462	0	0.00533	0.00398	24
BA.2.38	0	0.00315	0	0.00242	0	0	0	0.00741	0.0176	0	0	0	0	0	0	0.0159	24
BA.2.1	0.0121	0.000918	0.0172	0.00121	0.00325	0.00254	0	0	0	0	0	0	0	0	0	0	7
BA.1.15.1	0.0121	0.000787	0	0	0.00649	0	0	0	0.00136	0	0	0.000657	0	0	0	0	6
Other	0	0.016	0.0172	0.0206	0.00974	0.014	0.0526	0.00889	0.0136	0.015	0.0116	0.0263	0.0208	0.00833	0.008	0.012	122
Count	165	7622	58	825	308	788	19	675	738	400	946	1521	433	120	375	251	
