"Lineage"	"Vsechny tydny"	"_unknown_"	"tyden_2020_53"	"tyden_2021_01"	"tyden_2021_02"	"tyden_2021_03"	"tyden_2021_04"	"tyden_2021_05"	"tyden_2021_06"	"tyden_2021_07"	"tyden_2021_08"	"tyden_2021_09"	"tyden_2021_10"	"tyden_2021_11"	"tyden_2021_12"	"tyden_2021_13"	"tyden_2021_14"	"tyden_2021_15"	"tyden_2021_16"	"tyden_2021_17"	"tyden_2021_18"
"B.1.1.7"	0.785	0.808	0	0.365	0.483	0.746	0.452	0.894	0.906	0.76	0.679	0.719	0.818	0.884	0.918	0.907	0.96	0.583	0.872	0.957	0.948
"B.1.258"	0.127	0.107	0.714	0.361	0.345	0.169	0.333	0.0919	0.0503	0.158	0.251	0.225	0.0709	0.0445	0.0164	0.037	0	0.167	0	0	0.0104
"B.1.221"	0.0182	0.0168	0	0.0498	0	0.0141	0.0595	0	0.0151	0.034	0.0223	0.026	0.0127	0.00685	0.0164	0.0185	0	0.0227	0	0	0
"B.1.160"	0.0126	0.0126	0	0.0581	0.103	0	0.0952	0	0.00838	0.00728	0.0112	0	0.0101	0	0	0	0	0.0379	0	0	0
"B.1.351"	0.0119	0.00421	0	0	0	0	0	0	0	0.00971	0.00559	0.0173	0.0481	0.0308	0.0328	0.0185	0.0202	0	0.0851	0	0
"B.1.1"	0.00776	0.00211	0	0.0207	0	0	0.0238	0.0106	0.0101	0.00243	0.00279	0.00433	0.0177	0	0	0	0	0.00758	0	0.0186	0.0104
"B.1"	0.00582	0.0126	0.143	0.00415	0.0345	0.0282	0.0119	0	0	0.00243	0	0	0.0101	0.00685	0	0.0185	0	0.0227	0	0.00621	0
"B.1.1.153"	0.00291	0.00211	0	0.0124	0	0	0	0	0.00168	0.00728	0.00838	0.00433	0	0	0	0	0	0	0	0	0
"B.1.177"	0.00291	0.00632	0	0.0124	0	0	0	0	0.00335	0	0.00559	0	0.00253	0.00342	0	0	0	0	0	0	0
"B.1.1.277"	0.00267	0.00211	0	0.0124	0.0345	0.0141	0	0	0	0	0	0	0	0	0	0	0	0.0379	0	0	0
"B.1.177.8"	0.00242	0.0105	0	0	0	0	0	0	0	0.00728	0	0	0	0	0	0	0	0.0152	0	0	0
"B.1.1.219"	0.00194	0.00211	0	0.0249	0	0	0	0	0	0.00243	0	0	0	0	0	0	0	0	0	0	0
"C.35"	0.0017	0	0	0.0249	0	0	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0
"P.2"	0.00145	0	0	0	0	0	0	0	0.00168	0	0	0	0	0.0171	0	0	0	0	0	0	0
"B.1.1.170"	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0
"B.1.617.2"	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186	0.0104
"B.1.1.318"	0.000727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0152	0	0	0
"Other"	0.0136	0.0126	0.143	0.0539	0	0.0282	0.0238	0.00353	0.00335	0.00971	0.014	0.00433	0.00759	0.00685	0.0164	0	0.0101	0.0606	0.0426	0	0.0208
"Count"	4125	475	7	241	29	71	84	283	597	412	358	231	395	292	61	54	99	132	47	161	96	
